timestamp,type,available,region_count,regions
2026-03-28 19:48:14,gpu_1x_gh200,false,0,
2026-03-28 19:49:21,gpu_1x_a10,false,0,
2026-03-28 19:49:21,gpu_8x_a100,false,0,
2026-03-28 19:49:21,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:49:21,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:49:21,gpu_1x_gh200,false,0,
2026-03-28 19:50:59,gpu_1x_a10,true,1,us-west-1
2026-03-28 19:50:59,gpu_8x_a100,false,0,
2026-03-28 19:50:59,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:50:59,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:50:59,gpu_1x_gh200,false,0,
2026-03-28 19:52:08,gpu_1x_a10,true,1,us-west-1
2026-03-28 19:52:08,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:52:08,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:52:08,gpu_8x_a100,false,0,
2026-03-28 19:52:08,gpu_1x_gh200,false,0,
2026-03-28 19:52:47,gpu_1x_a10,true,1,us-west-1
2026-03-28 19:52:47,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:52:47,gpu_8x_a100,false,0,
2026-03-28 19:52:47,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:52:47,gpu_1x_gh200,false,0,
2026-03-28 19:54:15,gpu_1x_a10,false,0,
2026-03-28 19:54:15,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:54:15,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:54:15,gpu_8x_a100,false,0,
2026-03-28 19:54:15,gpu_1x_gh200,false,0,
2026-03-28 19:54:48,gpu_1x_a10,false,0,
2026-03-28 19:54:48,gpu_8x_a100,false,0,
2026-03-28 19:54:48,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:54:48,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:54:48,gpu_1x_gh200,false,0,
2026-03-28 19:56:18,gpu_1x_a10,false,0,
2026-03-28 19:56:18,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:56:18,gpu_8x_a100,false,0,
2026-03-28 19:56:18,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:56:18,gpu_1x_gh200,false,0,
2026-03-28 19:58:10,gpu_1x_a10,false,0,
2026-03-28 19:58:10,gpu_8x_a100,false,0,
2026-03-28 19:58:10,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:58:10,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:58:10,gpu_1x_gh200,false,0,
2026-03-28 19:59:02,gpu_1x_a10,false,0,
2026-03-28 19:59:02,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:59:02,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:59:02,gpu_8x_a100,false,0,
2026-03-28 19:59:02,gpu_1x_gh200,false,0,
2026-03-28 19:59:39,gpu_1x_a10,false,0,
2026-03-28 19:59:39,gpu_8x_a100,false,0,
2026-03-28 19:59:39,gpu_1x_a100_sxm4,false,0,
2026-03-28 19:59:39,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 19:59:39,gpu_1x_gh200,false,0,
2026-03-28 20:01:21,gpu_1x_a10,false,0,
2026-03-28 20:01:21,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:01:21,gpu_8x_a100,false,0,
2026-03-28 20:01:21,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:01:21,gpu_1x_gh200,false,0,
2026-03-28 20:02:49,gpu_1x_a10,false,0,
2026-03-28 20:02:49,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:02:49,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:02:49,gpu_8x_a100,false,0,
2026-03-28 20:02:49,gpu_1x_gh200,false,0,
2026-03-28 20:04:49,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:04:49,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:04:49,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:04:49,gpu_8x_a100,false,0,
2026-03-28 20:04:49,gpu_1x_gh200,true,1,us-east-3
2026-03-28 20:06:14,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:06:14,gpu_8x_a100,false,0,
2026-03-28 20:06:14,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:06:14,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:06:14,gpu_1x_gh200,true,1,us-east-3
2026-03-28 20:07:19,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:07:19,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:07:19,gpu_8x_a100,false,0,
2026-03-28 20:07:19,gpu_1x_a100_sxm4,true,1,us-east-1
2026-03-28 20:07:19,gpu_1x_gh200,true,1,us-east-3
2026-03-28 20:09:06,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:09:06,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:09:06,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:09:06,gpu_8x_a100,false,0,
2026-03-28 20:09:06,gpu_1x_gh200,false,0,
2026-03-28 20:10:13,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:10:13,gpu_8x_a100,false,0,
2026-03-28 20:10:13,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:10:13,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:10:13,gpu_1x_gh200,false,0,
2026-03-28 20:12:03,gpu_1x_a10,false,0,
2026-03-28 20:12:03,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:12:03,gpu_8x_a100,false,0,
2026-03-28 20:12:03,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:12:03,gpu_1x_gh200,false,0,
2026-03-28 20:13:54,gpu_1x_a10,false,0,
2026-03-28 20:13:54,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:13:54,gpu_8x_a100,false,0,
2026-03-28 20:13:54,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:13:54,gpu_1x_gh200,false,0,
2026-03-28 20:14:28,gpu_1x_a10,false,0,
2026-03-28 20:14:28,gpu_8x_a100,false,0,
2026-03-28 20:14:28,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:14:28,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:14:28,gpu_1x_gh200,false,0,
2026-03-28 20:15:41,gpu_1x_a10,false,0,
2026-03-28 20:15:41,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:15:41,gpu_8x_a100,false,0,
2026-03-28 20:15:41,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:15:41,gpu_1x_gh200,false,0,
2026-03-28 20:16:31,gpu_1x_a10,false,0,
2026-03-28 20:16:31,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:16:31,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:16:31,gpu_8x_a100,false,0,
2026-03-28 20:16:31,gpu_1x_gh200,false,0,
2026-03-28 20:17:44,gpu_1x_a10,false,0,
2026-03-28 20:17:44,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:17:44,gpu_8x_a100,false,0,
2026-03-28 20:17:44,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:17:44,gpu_1x_gh200,false,0,
2026-03-28 20:18:20,gpu_1x_a10,false,0,
2026-03-28 20:18:20,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:18:20,gpu_8x_a100,false,0,
2026-03-28 20:18:20,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:18:20,gpu_1x_gh200,false,0,
2026-03-28 20:20:01,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:20:01,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:20:01,gpu_8x_a100,false,0,
2026-03-28 20:20:01,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:20:01,gpu_1x_gh200,false,0,
2026-03-28 20:21:23,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:21:23,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:21:23,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:21:23,gpu_8x_a100,false,0,
2026-03-28 20:21:23,gpu_1x_gh200,false,0,
2026-03-28 20:23:07,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:23:07,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:23:07,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:23:07,gpu_8x_a100,false,0,
2026-03-28 20:23:07,gpu_1x_gh200,false,0,
2026-03-28 20:24:34,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:24:34,gpu_8x_a100,false,0,
2026-03-28 20:24:34,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:24:34,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:24:34,gpu_1x_gh200,false,0,
2026-03-28 20:25:59,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:25:59,gpu_8x_a100,false,0,
2026-03-28 20:25:59,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:25:59,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:25:59,gpu_1x_gh200,false,0,
2026-03-28 20:27:26,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:27:26,gpu_8x_a100,false,0,
2026-03-28 20:27:26,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:27:26,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:27:26,gpu_1x_gh200,false,0,
2026-03-28 20:28:31,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 20:28:31,gpu_8x_a100,false,0,
2026-03-28 20:28:31,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:28:31,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:28:31,gpu_1x_gh200,false,0,
2026-03-28 20:29:42,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 20:29:42,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:29:42,gpu_8x_a100,false,0,
2026-03-28 20:29:42,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:29:42,gpu_1x_gh200,false,0,
2026-03-28 20:30:41,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 20:30:41,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:30:41,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:30:41,gpu_8x_a100,false,0,
2026-03-28 20:30:41,gpu_1x_gh200,false,0,
2026-03-28 20:31:18,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 20:31:18,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:31:18,gpu_8x_a100,false,0,
2026-03-28 20:31:18,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:31:18,gpu_1x_gh200,false,0,
2026-03-28 20:32:21,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 20:32:21,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:32:21,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:32:21,gpu_8x_a100,false,0,
2026-03-28 20:32:21,gpu_1x_gh200,false,0,
2026-03-28 20:33:22,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 20:33:22,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:33:22,gpu_1x_a100_sxm4,true,1,us-west-2
2026-03-28 20:33:22,gpu_8x_a100,false,0,
2026-03-28 20:33:22,gpu_1x_gh200,false,0,
2026-03-28 20:34:56,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:34:56,gpu_8x_a100,false,0,
2026-03-28 20:34:56,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:34:56,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:34:56,gpu_1x_gh200,false,0,
2026-03-28 20:35:27,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:35:27,gpu_8x_a100,false,0,
2026-03-28 20:35:27,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:35:27,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:35:27,gpu_1x_gh200,false,0,
2026-03-28 20:37:17,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:37:17,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:37:17,gpu_8x_a100,false,0,
2026-03-28 20:37:17,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:37:17,gpu_1x_gh200,false,0,
2026-03-28 20:38:23,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:38:23,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:38:23,gpu_8x_a100,false,0,
2026-03-28 20:38:23,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:38:23,gpu_1x_gh200,false,0,
2026-03-28 20:39:08,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:39:08,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:39:08,gpu_8x_a100,false,0,
2026-03-28 20:39:08,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:39:08,gpu_1x_gh200,false,0,
2026-03-28 20:40:59,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:40:59,gpu_8x_a100,false,0,
2026-03-28 20:40:59,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:40:59,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:40:59,gpu_1x_gh200,false,0,
2026-03-28 20:42:35,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:42:35,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:42:35,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:42:35,gpu_8x_a100,false,0,
2026-03-28 20:42:35,gpu_1x_gh200,false,0,
2026-03-28 20:44:09,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:44:09,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:44:09,gpu_8x_a100,false,0,
2026-03-28 20:44:09,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:44:09,gpu_1x_gh200,false,0,
2026-03-28 20:44:47,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:44:47,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:44:47,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:44:47,gpu_8x_a100,false,0,
2026-03-28 20:44:47,gpu_1x_gh200,false,0,
2026-03-28 20:45:31,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:45:31,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:45:31,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:45:31,gpu_8x_a100,false,0,
2026-03-28 20:45:31,gpu_1x_gh200,false,0,
2026-03-28 20:46:45,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:46:45,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:46:45,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:46:45,gpu_8x_a100,false,0,
2026-03-28 20:46:45,gpu_1x_gh200,false,0,
2026-03-28 20:47:32,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:47:32,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:47:32,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:47:32,gpu_8x_a100,false,0,
2026-03-28 20:47:32,gpu_1x_gh200,false,0,
2026-03-28 20:49:16,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:49:16,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:49:16,gpu_8x_a100,false,0,
2026-03-28 20:49:16,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:49:16,gpu_1x_gh200,false,0,
2026-03-28 20:50:29,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:50:29,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:50:29,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:50:29,gpu_8x_a100,false,0,
2026-03-28 20:50:29,gpu_1x_gh200,false,0,
2026-03-28 20:52:14,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:52:14,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:52:14,gpu_8x_a100,false,0,
2026-03-28 20:52:14,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:52:14,gpu_1x_gh200,false,0,
2026-03-28 20:53:39,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:53:39,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:53:39,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:53:39,gpu_8x_a100,false,0,
2026-03-28 20:53:39,gpu_1x_gh200,false,0,
2026-03-28 20:55:29,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:55:29,gpu_8x_a100,false,0,
2026-03-28 20:55:29,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:55:29,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:55:29,gpu_1x_gh200,false,0,
2026-03-28 20:56:01,gpu_1x_a10,true,1,us-west-1
2026-03-28 20:56:01,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:56:01,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:56:01,gpu_8x_a100,false,0,
2026-03-28 20:56:01,gpu_1x_gh200,false,0,
2026-03-28 20:57:38,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 20:57:38,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:57:38,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:57:38,gpu_8x_a100,false,0,
2026-03-28 20:57:38,gpu_1x_gh200,false,0,
2026-03-28 20:59:24,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 20:59:24,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 20:59:24,gpu_8x_a100,false,0,
2026-03-28 20:59:24,gpu_1x_a100_sxm4,false,0,
2026-03-28 20:59:24,gpu_1x_gh200,false,0,
2026-03-28 21:00:23,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 21:00:23,gpu_8x_a100,false,0,
2026-03-28 21:00:23,gpu_1x_a100_sxm4,false,0,
2026-03-28 21:00:23,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 21:00:23,gpu_1x_gh200,false,0,
2026-03-28 21:00:56,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 21:00:56,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 21:00:56,gpu_8x_a100,false,0,
2026-03-28 21:00:56,gpu_1x_a100_sxm4,false,0,
2026-03-28 21:00:56,gpu_1x_gh200,false,0,
2026-03-28 21:02:39,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 21:02:39,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 21:02:39,gpu_1x_a100_sxm4,false,0,
2026-03-28 21:02:39,gpu_8x_a100,false,0,
2026-03-28 21:02:39,gpu_1x_gh200,false,0,
2026-03-28 21:03:54,gpu_1x_a10,true,2,us-east-1|us-west-1
2026-03-28 21:03:54,gpu_8x_a100_80gb_sxm4,false,0,
2026-03-28 21:03:54,gpu_8x_a100,false,0,
2026-03-28 21:03:54,gpu_1x_a100_sxm4,false,0,
2026-03-28 21:03:54,gpu_1x_gh200,false,0,
